"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1917728970172477561","Wed Apr 30 23:53:10 +0000 2025","0","OK gas ...Indonesia Emas nih pak @prabowo @gibran_tweet l berkas kerja keras kalian kita memimpin klasemen pengangguran ke 1 di Asean. Kinerja kalian sangat memuaskan mayoritas para pengangguran. Siapa yang yg hendak kalian utus untuk menerima penghargaan ini ?","1917728970172477561","","","in","","0","0","0","https://x.com/undefined/status/1917728970172477561","1838798964340199424",
"1917400604294709347","Wed Apr 30 23:40:34 +0000 2025","0","@uglygrunge1798 @Heraloebss @prabowo @gibran_tweet Ngga ada hubungannya terpilihnya presiden dan wapres dengan kepuasan setelah mereka terpilih. Emangnya kalo sudah terpilih warga indonesia harus dipaksa puas gitu? Ya ngga lah. Kepuasan itu hubungannya dengan kinerja setelah mereka terpilih. Kamu harus move on dari pemilu!","1917725798758506586","","uglygrunge1798","in","","0","0","0","https://x.com/undefined/status/1917725798758506586","1396448679641292801",
"1917561737135677776","Wed Apr 30 23:03:24 +0000 2025","0","@DedynurPalakka Kinerja? Emang pernah dikasih tugas atau misi apa sm prabowo?","1917716446655963401","","DedynurPalakka","in","","0","0","0","https://x.com/undefined/status/1917716446655963401","1387866450623229952",
"1917385916366156265","Wed Apr 30 23:02:25 +0000 2025","0","@txtdrimedia Kinerja?? Emang dikasi tugas apa sm prabowo?","1917716199020061056","","txtdrimedia","in","","0","0","0","https://x.com/undefined/status/1917716199020061056","1387866450623229952",
"1917400604294709347","Wed Apr 30 22:42:08 +0000 2025","0","@uglygrunge1798 @Heraloebss @prabowo @gibran_tweet Demokrasi dan tupoksi kinerja NDASMU pemimpin yg tdk bisa me-manage bawahan mk hsl kerja tdk benar","1917711091196649663","","uglygrunge1798","in","","0","0","0","https://x.com/undefined/status/1917711091196649663","1589974766278279168",
"1917651122082439593","Wed Apr 30 18:43:50 +0000 2025","0","Ini begitu buruknya kinerja gubernur kalimantan selatan bupati @DivHumas_Polri pk @ListyoSigitP DPRD akhirnya ormas grib mewakili karyawan untuk selesaikan kewajiban kep @MahkamahAgung Cc @prabowo @habiburokhman @Yusrilihza_Mhd @bahlillahadalia @msaid_didu @DPR_RI @JimlyAs","1917651122082439593","","","in","","0","0","0","https://x.com/undefined/status/1917651122082439593","1119457371393146880",
"1917634312033427951","Wed Apr 30 17:37:02 +0000 2025","0","Lembaga riset independen IndoStrategi merilis hasil riset evaluasi kinerja kabinet Prabowo-Gibran dan mengidentifikasi 10 menteri denga performa tertinggi. #kabinetprabowogibran #risetindostrategi https://t.co/aw4DdFvPyW","1917634312033427951","https://pbs.twimg.com/media/GpzOPnjaYAQM_He.jpg","","in","","0","0","0","https://x.com/undefined/status/1917634312033427951","70600007",
"1917441209653682239","Wed Apr 30 16:39:57 +0000 2025","0","@Lembayung071 @gibran_tweet @prabowo @setkabgoid @KemensetnegRI Sy belum lihat apa kinerja gibran","1917619946496090357","","Lembayung071","in","","0","0","0","https://x.com/undefined/status/1917619946496090357","1475125941269458947",
"1917449162049872092","Wed Apr 30 15:58:10 +0000 2025","0","@Mdy_Asmara1701 bukannya seharusnya puas kinerja pak prabowo.. koq jadi agak gimana gitu...","1917609431711506566","","Mdy_Asmara1701","in","","0","0","0","https://x.com/undefined/status/1917609431711506566","131235498",
"1917449162049872092","Wed Apr 30 14:08:45 +0000 2025","0","@Mdy_Asmara1701 Survey abal-abal; apa kinerja yang sudah dilakukan prabowo gibran selain kepatuhan kepada presiden terdahulu?","1917581896378376461","","Mdy_Asmara1701","in","","0","0","0","https://x.com/undefined/status/1917581896378376461","1719522152855293952",
"1917166964537200965","Wed Apr 30 13:01:16 +0000 2025","1","@mandalika1487 @Anak__Ogi T*lol semua akun buzzer ku kira anak abah itu objektif kritis ke Prabowo ternyata ngeliat kinerja KDM yg bagus langsung keringat dingin g mau nama Anies tenggelam langsung di framing macem ","1917564913612120473","","mandalika1487","in","","0","0","0","https://x.com/undefined/status/1917564913612120473","1848620730885480448",
"1917029323489611861","Wed Apr 30 13:00:11 +0000 2025","0","@ferizandra T*lol semua akun buzzer ku kira anak abah itu objektif kritis ke Prabowo ternyata ngeliat kinerja KDM yg bagus langsung keringat dingin g mau nama Anies tenggelam langsung di framing macem ","1917564642139996346","","ferizandra","in","","0","0","0","https://x.com/undefined/status/1917564642139996346","1848620730885480448",
"1917559305655705733","Wed Apr 30 12:38:59 +0000 2025","0","Kinerja 10 tahun jokowi ini pak @prabowo maka dgn segala hormat kami mohon kpd pak prabowo ..tlg jgn lindungi &amp; halang²i rakyat utk menuntut adili jokowi krn sdh banyak sekali kerusakan yg sdh dibuatnya bgs bpk dgr saran dari senior dan junior bapak para purnawirawan TNI","1917559305655705733","","","in","","0","0","0","https://x.com/undefined/status/1917559305655705733","1605189327533002752",
"1917545883933065581","Wed Apr 30 11:45:39 +0000 2025","0","kinerja Gibran oke punya semoga terus meningkat https://t.co/U5hOvetaVV","1917545883933065581","https://pbs.twimg.com/media/Gpx90B1bYAAI42u.jpg","","in","","0","0","0","https://x.com/undefined/status/1917545883933065581","2566514009",
"1917179392398340390","Wed Apr 30 11:39:03 +0000 2025","0","@khanifirsyad Ya Allah kirain statement beliau sebelumnya bakal berubah lah malah makin menjadi sekarang. Jadi guna menko pangan tuh apaan wahai pak presiden @prabowo jika hal begini rakyat juga yang mandiri kami bayar pajak untuk menggaji para pejabat pemerintah tapi kinerja kalian begini?","1917544223295037825","","khanifirsyad","in","","0","0","0","https://x.com/undefined/status/1917544223295037825","1553921041415962624",
