conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,label,text_processed
1882654424775934013,Fri Jan 24 04:59:27 +0000 2025,0,Ketua DPR Puan Maharani mengapresiasi hasil tingkat kepuasan masyarakat terhadap kinerja Pemerintahan Prabowo Subianto-Gibran Rakabuming Raka di 100 hari pertamanya. https://t.co/SzSUUs03jO,1882654424775934013,https://pbs.twimg.com/media/GiCIOOhXMAAzF3S.jpg,,in,,0,0,0,https://x.com/undefined/status/1882654424775934013,1568258758094245888,,positif,ketua dpr puan maharani apresiasi hasil tingkat puas masyarakat kerja perintah prabowo subianto gibran rakabuming raka pertama
1885971528472571946,Mon Feb 03 00:32:56 +0000 2025,252,@folkshittmedia Makin mantap kinerja aparat ketertiban Siap2 dipromosikan CC: @prabowo @gibran_tweet @ListyoSigitP https://t.co/N1LXX1pREB,1886211232254099559,https://pbs.twimg.com/media/Gi0rHQ0bwAAMH_z.jpg,folkshittmedia,in,,1,6,30,https://x.com/undefined/status/1886211232254099559,754191057554776064,,positif,mantap kerja aparat tertib promosi prabowo
1879746715139678345,Thu Jan 16 04:25:15 +0000 2025,1,Survei : mayoritas publik puas dengan kinerja Prabowo-Gibran di 100 hari kerja https://t.co/2RB3JnssRH,1879746715139678345,https://pbs.twimg.com/media/GhYzrOjaEAAcy9L.jpg,,in,,1,0,0,https://x.com/undefined/status/1879746715139678345,1754044570827190272,,positif,survei mayoritas publik puas kerja prabowo gibran kerja
1881367185416970577,Mon Jan 20 15:44:25 +0000 2025,0,Bukti obyektif kinerja Prabowo-Gibran puaskan 80 9% masyarakat #KinerjaPrabowoTerbukti,1881367185416970577,,,in,,0,0,0,https://x.com/undefined/status/1881367185416970577,1701799841834340352,,positif,bukti obyektif kerja prabowo gibran puas masyarakat kinerjaprabowoterbukti
1879421452283461712,Wed Jan 15 07:14:27 +0000 2025,0,@Zakiiyah_an Kabinet Prabowo memastikan setiap langkahnya membawa kemakmuran dan kebahagiaan bagi rakyat. Kinerja Apik Kabinet,1879426905809797620,,Zakiiyah_an,in,,0,0,0,https://x.com/undefined/status/1879426905809797620,1654877206391459841,,positif,kabinet prabowo langkah bawa makmur bahagia rakyat kerja bagus kabinet
1879445725991551186,Wed Jan 15 09:40:21 +0000 2025,0,@prabowoisme gess Visi Prabowo masa depan rakyat lebih baik. Kabinetnya tuh gaspol buat menyelesaikannya ... Kinerja Apik Kabinet,1879463624701526281,,prabowoisme,in,,0,0,0,https://x.com/undefined/status/1879463624701526281,1473557774739001347,,positif,gess visi prabowo rakyat kabinet tuh gaspol selesai kerja bagus kabinet
1896905032773325300,Wed Mar 05 07:10:06 +0000 2025,0,@kompascom belum bekerja saja survey responden 81 4 persen puas dgn kinerja Prabowo apalagi sudah kerja tingkat kepuasan mencapai 800 persen,1897182817890787589,,kompascom,in,,0,0,0,https://x.com/undefined/status/1897182817890787589,1086555366807068672,,positif,survey responden persen puas kerja prabowo kerja tingkat puas capai persen
1879432577108591052,Wed Jan 15 08:01:30 +0000 2025,0,@prabowoisme Kerja keras kementerian Prabowo buat visi menjadi aksi. Semua buat kesejahteraan kita semua Kinerja Apik Kabinet,1879438749861552617,,prabowoisme,in,,0,0,0,https://x.com/undefined/status/1879438749861552617,1642746516774477824,,positif,kerja keras menteri prabowo visi aksi sejahtera kerja bagus kabinet
1917396635480645971,Wed Apr 30 12:22:09 +0000 2025,0,@LeonPriceleon48 Anak-anak Bandung makin sehat berkat Program MBG Presiden Prabowo mudah-mudahan Pamekasan juga kebagian,1917555068464947508,,LeonPriceleon48,in,,0,0,0,https://x.com/ria_richas/status/1917555068464947508,1687377177602592769,ria_richas,positif,anak anak bandung sehat berkat program mbg presiden prabowo mudah mudah pamekasan bagi
1881261218977173977,Mon Jan 20 08:43:21 +0000 2025,0,Presiden Prabowo Subianto menyoroti kinerja kabinetnya dalam 100 hari pertama menjabat sebagai kepala negara. Dia menyebut pemerintahnya berhasil mengendalikan harga bahan bakar mesin (BBM) kebutuhan pokok hingga tiket pesawat. Selengkapnya https://t.co/4jqc9uNhjV https://t.co/lHWDb79GzC,1881261218977173977,https://pbs.twimg.com/ext_tw_video_thumb/1881260954798919680/pu/img/y3ty7Dk4ADUI99hd.jpg,,in,,0,0,0,https://x.com/undefined/status/1881261218977173977,552523769,,positif,presiden prabowo subianto sorot kerja kabinet jabat kepala negara sebut perintah hasil kendali harga bahan bakar mesin bbm butuh pokok tiket pesawat lengkap
1879408293648699548,Wed Jan 15 06:46:53 +0000 2025,0,@prabowoisme Guys Visi Presiden Prabowo masa depan masyarakat lebih baik. menterinya tuh gaspoll buat direalisasikan .Kinerja Apik Kabinet,1879419969697657155,,prabowoisme,in,,0,0,0,https://x.com/undefined/status/1879419969697657155,1645624673563189249,,positif,guys visi presiden prabowo masyarakat menteri tuh gaspoll realisasi kerja bagus kabinet
1881369157633196383,Mon Jan 20 15:52:15 +0000 2025,0,Kinerja Prabowo bikin kita yakin dengan masa depan bangsa #KinerjaPrabowoTerbukti,1881369157633196383,,,in,,0,0,0,https://x.com/undefined/status/1881369157633196383,1698540917375057920,,positif,kerja prabowo bikin bangsa kinerjaprabowoterbukti
1881398402191446392,Mon Jan 20 17:48:28 +0000 2025,0,Apresiasi publik untuk Prabowo-Gibran jadi bukti kinerja nyatanya yang jempolan #KinerjaPrabowoTerbukti,1881398402191446392,,,in,,0,0,0,https://x.com/undefined/status/1881398402191446392,1689174005750894592,,positif,apresiasi publik prabowo gibran bukti kerja jempol kinerjaprabowoterbukti
1917397492423090681,Wed Apr 30 14:30:28 +0000 2025,0,@hexagrap_id Cek kesehatan gratis hadiah dari Prabowo buat kita semua. Jangan sampai terlewat ya,1917587361409687944,,hexagrap_id,in,,0,0,0,https://x.com/fadhila_nurr/status/1917587361409687944,1688429688874799104,fadhila_nurr,positif,cek sehat gratis hadiah prabowo lewat
1885909789450080378,Sun Feb 02 04:35:06 +0000 2025,0,87% publik puas dengan kinerja kabinet prabowo-gibran dalam 100 hari https://t.co/7OMAKJUMbF,1885909789450080378,https://pbs.twimg.com/media/GiwY9X2aoAAT_sb.jpg,,in,,0,0,0,https://x.com/undefined/status/1885909789450080378,2329531294,,positif,publik puas kerja kabinet prabowo gibran
